,Title,Price,Review
0,Sharp Objects,£47.82,4
1,"In a Dark, Dark Wood",£19.63,1
2,The Past Never Ends,£56.50,4
3,A Murder in Time,£16.64,1
4,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,4
5,The Last Mile (Amos Decker #2),£54.21,2
6,That Darkness (Gardiner and Renner #1),£13.92,1
7,Tastes Like Fear (DI Marnie Rome #3),£10.69,1
8,A Time of Torment (Charlie Parker #14),£48.35,5
9,A Study in Scarlet (Sherlock Holmes #1),£16.73,2
10,Poisonous (Max Revere Novels #3),£26.80,3
11,Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,4
12,Most Wanted,£35.28,3
13,Hide Away (Eve Duncan #20),£11.84,1
14,Boar Island (Anna Pigeon #19),£59.48,3
15,The Widow,£27.26,2
16,Playing with Fire,£13.71,3
17,What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,5
18,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,5
19,Delivering the Truth (Quaker Midwife Mystery #1),£20.89,4
20,The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,4
21,In the Woods (Dublin Murder Squad #1),£38.38,2
22,The Silkworm (Cormoran Strike #2),£23.05,5
23,The Exiled,£43.45,3
24,The Cuckoo's Calling (Cormoran Strike #1),£19.21,1
25,Extreme Prey (Lucas Davenport #26),£25.40,3
26,Career of Evil (Cormoran Strike #3),£24.72,2
27,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,4
28,The Girl You Lost,£12.29,5
29,The Girl In The Ice (DCI Erika Foster #1),£15.85,3
30,Blood Defense (Samantha Brinkman #1),£20.30,3
31,1st to Die (Women's Murder Club #1),£53.98,1
